uri,cid,author_did,author_handle,created_at,text,link
at://did:plc:2uixaitqztxemkldmpb3zeb7/app.bsky.feed.post/3m5zv3gf4m224,bafyreiha2uzxcznalhseds536tw7ngfri2o2frunzrwdpn4asmvj3zldom,did:plc:2uixaitqztxemkldmpb3zeb7,sankalots.bsky.social,2025-11-20T04:02:08.744Z,"www.thebulwark.com/p/the-epstei...

“And so “distrust and verify” should be the motto going forward. Congress, the media, the survivors—everyone committed to the truth come out—needs to be prepared to keep the pressure on, and to scream from the rooftops if there seems to be evasion or stonewalling.",https://bsky.app/profile/
at://did:plc:qgkhaoi4gwdga2gvb4b7nfng/app.bsky.feed.post/3m5zt2peqrs26,bafyreiguurhknastlfi2lvweg3wikxqessun562hfpjykknbgmac4efsvy,did:plc:qgkhaoi4gwdga2gvb4b7nfng,ptjscribe.bsky.social,2025-11-20T03:25:57.131Z,"Another Trump phobia: Republicans  who want to stop politicians enriching themselves with stock windfalls (including crypto, Donny!) usually grifted from inside info/quid pro quos. Let the stonewalling games begin…",https://bsky.app/profile/
at://did:plc:rgxifrjz3dnl24uwoi344kbv/app.bsky.feed.post/3m5zswqzymk2a,bafyreigd32psdjl7shzqntig4ffeoqtwt7tznda4tnqyde6eh4xz2nyvpq,did:plc:rgxifrjz3dnl24uwoi344kbv,kristine76.bsky.social,2025-11-20T03:23:44.658Z,"Yeah. Why is he upset about a bill he voted for? I felt that was strange. He could have added the amendments but put the responsibility on the Senate to do the work. Let’s remember, he refused to convene the House due to his stonewalling attempts. Incompetent ass!!! It’s never his fault.",https://bsky.app/profile/
at://did:plc:nv7dgehwj5pxxocw3vufktsk/app.bsky.feed.post/3m5zi2iy56l2w,bafyreicdcilvoxeggw44t43eiznmt7htcuwofg7yn5jtza5epglv6kk4my,did:plc:nv7dgehwj5pxxocw3vufktsk,valueaddedresource.bsky.social,2025-11-20T00:08:58.365Z,"Beckett Collectibles gives customers silent treatment as multiple cybersecurity outlets report alleged data breach exposing sensitive personal data. ⚠️
www.valueaddedresource.net/becket-colle...",https://bsky.app/profile/
at://did:plc:4tmkcskpxgzdjqubfq5tuph4/app.bsky.feed.post/3m5yty4mh7s2o,bafyreihl5ncotht4tivfbmdipuljmgas4ler2uyxfc6fiy2rqn5wgywyw4,did:plc:4tmkcskpxgzdjqubfq5tuph4,1ncarnad1ne.bsky.social,2025-11-19T18:09:44.355Z,id like to think he would def bring up an issue if he has a problem with me or something going on in the office. ive seen him do it with my boss. but i was also 100% sure my last coworker would speak up too and instead she went scorched earth silent treatment on me,https://bsky.app/profile/
at://did:plc:hitd5zxjopbti2rqzpwqexna/app.bsky.feed.post/3m5yrkprttc27,bafyreiepck6pacq3szyjtlxe4zrtl256saeo5vy6z6iqfl2zvpehcmmvbq,did:plc:hitd5zxjopbti2rqzpwqexna,queenhy.is.eepy.now,2025-11-19T17:26:27.209Z,silent treatment but it's just me giving you a treat in silence 😌,https://bsky.app/profile/
at://did:plc:qn6z3du6jjjmh33oqrxkyagy/app.bsky.feed.post/3m5xl5r4upk2o,bafyreibxwdpjee5fknx6ct3lcqfpwubfsc3oekysf5ueyjposb762m2qz4,did:plc:qn6z3du6jjjmh33oqrxkyagy,bellatv55.bsky.social,2025-11-19T05:59:10.223Z,"don't even give him print space... 

we should just give him the silent treatment-",https://bsky.app/profile/
at://did:plc:xpa566cxbane7ryqa4ucb4dn/app.bsky.feed.post/3m5xcec5ibk2n,bafyreie7ergypzm4fe6t6ncys3uigfdumgdsdfbfhvqbhgtru5lctzk5ca,did:plc:xpa566cxbane7ryqa4ucb4dn,simply-a-lad.bsky.social,2025-11-19T03:21:45.719Z,(Has Chaos stopped giving Grant the silent treatment at this point?),https://bsky.app/profile/
at://did:plc:7ezvhnprvvpxwqdncrrqx5w2/app.bsky.feed.post/3m5x4xm5syk2q,bafyreiaokueamgvxhenzsjuc5ajyv7xbcuddfh5iuhfuzdpi7c2ymosbam,did:plc:7ezvhnprvvpxwqdncrrqx5w2,spicynocajun.bsky.social,2025-11-19T01:45:11.299Z,"I wish I would be married to someone who gave me the silent treatment for two weeks.

I’ll make all the accounts real quiet and the home would echo nicely when I move out.",https://bsky.app/profile/
at://did:plc:qhdaarhdcqifrrk2go5tbhs2/app.bsky.feed.post/3m5x2v5cwa22i,bafyreihaswsey2gv3nh7uweoauzm37sljcgeimelxv7g5alxuip47b66wu,did:plc:qhdaarhdcqifrrk2go5tbhs2,kay819.bsky.social,2025-11-19T01:08:01.144Z,Mary giving Britani the silent treatment via stuffed animal 💀 💀 💀  #rhoslc,https://bsky.app/profile/
at://did:plc:zs3rpxnmie7jch2funmj5fvq/app.bsky.feed.post/3m5z7vxwlcc2j,bafyreiah4cu7dwbofdix2ffolgvqn3bghsz6yx2yd6j5asxyyyfqzo4rrq,did:plc:zs3rpxnmie7jch2funmj5fvq,tabletopsentinel.com,2025-11-19T21:43:17.237Z,"@steamforgedgames.bsky.social Terra Mystica Special Edition wraps up today after hoovering up £900k, so if you've only got two copies gathering dust already, why not make it three? Not available in stores - they totally don't need your money. #TerraMystica #boardgames l.d20.ninja/26j5f4tm",https://bsky.app/profile/
at://did:plc:qsarjddipvcujzgkfmjpzbyb/app.bsky.feed.post/3m5z5rxjyds2y,bafyreia36caafrtji32yznvxlbqtp5t6ymgbz4j2yby75c3ea4uaybimj4,did:plc:qsarjddipvcujzgkfmjpzbyb,sinkcat.bsky.social,2025-11-19T21:05:15.124Z,"Yess, and when she was hoovering solar energy. The view from the observation deck was gorgeous.",https://bsky.app/profile/
at://did:plc:u64dgwgy422jfvigt2ha3koo/app.bsky.feed.post/3m5yqgxrssc25,bafyreieagu4ccdxn536mzbfocu4xhpbg2uycexrde2zdcoylqhy4nmnme4,did:plc:u64dgwgy422jfvigt2ha3koo,paddington64.bsky.social,2025-11-19T17:06:27.638Z,Was hoovering and fridge,https://bsky.app/profile/
at://did:plc:362jgun3je642aevahkfyakw/app.bsky.feed.post/3m5yo7tfq2k2k,bafyreibbtbk42mnpnz3hq6uhlmzrbq4jivpkhrvk3wsvk6lc6aytegjz4y,did:plc:362jgun3je642aevahkfyakw,whoa-magic.lol,2025-11-19T16:26:40.682Z,"Or it turned Marxist & redistributed all that money they're Hoovering up, turned all those billionaires into hungry, poor people.

*cackling* 😆",https://bsky.app/profile/
at://did:plc:rmtcpp6jvdh4h2oquytkhqtk/app.bsky.feed.post/3m5yjfvaanc2e,bafyreigvghxhk7kjfsacp5jzjvrzrgeucghinsjbrqbrchfjuzkqdmychq,did:plc:rmtcpp6jvdh4h2oquytkhqtk,base1172.bsky.social,2025-11-19T15:00:35.218Z,"Trump promised he'd just do the tip, but ended up hoovering that Bill dry.

Rumor has it there are photos.",https://bsky.app/profile/
